Questions,Answers,c,v,id,Text
What is the essence of the first teaching in the Gita?,Duty,2,47,2047,"Your right is only to work, but not to its results; do not let the results of action be your motive, nor let your attachment be to inaction."
Who is Arjuna's charioteer in the battlefield?,Krishna,1,20,1020,"Then, seeing the people of Dhritarashtra's party standing arrayed and the discharge of weapons about to begin, Arjuna, the son of Pandu whose ensign was a monkey, took up his bow and said the following to Krishna, O Lord of the Earth."
What is the first verse of the Bhagavad Gita?,Dhritarashtra inquires about the battle,1,1,1001,"Dhritarashtra said, ""What did my people and the sons of Pandu do when they had assembled together, eager for battle, on the holy plain of Kurukshetra, O Sanjaya?"""
Which chapter of the Gita speaks about the Yoga of Devotion?,Bhakti Yoga,12,12,12012,Better indeed is knowledge than practice; better than knowledge is meditation; better than meditation is the renunciation of the fruits of actions: peace immediately follows renunciation.
What are the three paths to salvation mentioned in the Gita?,"Karma, Bhakti, Jnana",4,33,4033,"Superior is wisdom-sacrifice to the sacrifice with objects, O Parantapa (scorcher of the foes). All actions in their entirety, O Arjuna, culminate in knowledge."
What is the primary teaching regarding performing actions?,Perform actions without attachment to results,2,47,2047,"Your right is only to work, but not to its results; do not let the results of action be your motive, nor let your attachment be to inaction."
"What is the essence of the famous verse ""Yada yada hi dharmasya...""?",Whenever there is a decline in righteousness...,4,7,4007,"Whenever there is a decline of righteousness and an increase of unrighteousness, O Arjuna, then I manifest Myself."
"What is the significance of the verse ""Karmanye vadhikaraste...""?",Your right is to perform your duty...,2,47,2047,"Your right is only to work, but not to its results; do not let the results of action be your motive, nor let your attachment be to inaction."
What does Krishna recommend as the key to spiritual liberation?,Devotion and surrender to him,18,65,18065,"Fix your mind on Me, be devoted to Me, sacrifice to Me, bow down to Me. You will come to Me; I truly promise you this, for you are dear to Me."
"What is the essence of the verse ""Man mana bhava mad-bhakto...""?","Fix your mind on Me, be devoted to Me...",9,34,9034,"Fix your mind on Me; be devoted to Me; sacrifice to Me; bow down to Me; having thus united your whole self to Me, taking Me as the supreme goal, you will come to Me."
What does Krishna say about the impermanent nature of the material world?,It is a place of suffering and temporary existence,8,15,8015,"Having attained Me, these great souls do not take birth again hereâ€”a place of pain and impermanenceâ€”but have reached the highest perfection of liberation."
"What is the essence of the verse ""Vasamsi jirnani yatha vihaya...""?",Just as a person puts on new garments...,2,22,2022,"Just as a man casts off worn-out clothes and puts on new ones, so too the embodied Self casts off worn-out bodies and enters others that are new."
What is the ultimate purpose of all yoga practices according to Krishna?,Self-realization and union with the Divine,18,66,18066,Abandon all duties and take refuge in Me alone; I will liberate you from all sins; do not grieve.
"What is the significance of the verse ""Sarva-dharman parityajya...""?",Abandon all varieties of religion...,18,66,18066,Abandon all duties and take refuge in Me alone; I will liberate you from all sins; do not grieve.
What does Krishna advise about controlling the mind and senses?,Discipline and practice,6,26,6026,"From whatever cause the restless and unsteady mind wanders away, let him restrain it from that and bring it under the control of the Self alone."
What is Krishna's advice regarding performing prescribed duties?,Perform your duties without attachment to results,2,47,2047,"Your right is only to work, but not to its results; do not let the results of action be your motive, nor let your attachment be to inaction."
Who is the charioteer of Dhritarashtra?,Sanjaya,1,1,1001,"Dhritarashtra said, ""What did my people and the sons of Pandu do when they had assembled together, eager for battle, on the holy plain of Kurukshetra, O Sanjaya?"""
Who is Arjuna's father?,Pandu,1,14,1014,"Then, Madhava (Krishna) and the son of Pandu (Arjuna), seated in the magnificent chariot yoked with white horses, blew divine conches."
What is Krishna also known as?,Madhava,1,14,1014,"Then, Madhava (Krishna) and the son of Pandu (Arjuna), seated in the magnificent chariot yoked with white horses, blew divine conches."
Yudhishthira is the son of ?,Kunti,1,16,1016,"King Yudhishthira, the son of Kunti, blew the Anantavijaya; Nakula and Sahadeva blew the Sughosha and the Manipushpaka."
What is the enemy of the wise?,Desire,3,39,3039,"O Arjuna, wisdom is enveloped by this constant enemy of the wise, in the form of desire, which is insatiable like fire."
What is Brahman?,oblation,2,24,2024,Brahman is the oblation; Brahman is the melted butter (ghee); by Brahman is the oblation poured into the fire of Brahman; Brahman indeed shall be attained by one who always sees Brahman in action.
What is Parantapa?,Scorcher of Foes,4,33,4033,"Superior is wisdom-sacrifice to the sacrifice with objects, O Parantapa (scorcher of the foes). All actions in their entirety, O Arjuna, culminate in knowledge."
What food are loved by the Rajasic?,"bitter, sour, salty, overly hot, pungent, dry, and burning ",17,9,1709,"The foods that are bitter, sour, salty, overly hot, pungent, dry, and burning are liked by the Rajasic and are productive of pain, grief, and disease."
"Who likes bitter, sour, salty, overly hot, pungent, dry, and burning food?",Rajasic,17,9,1709,"The foods that are bitter, sour, salty, overly hot, pungent, dry, and burning are liked by the Rajasic and are productive of pain, grief, and disease."
"What food is productive of pain, grief, and disease?","bitter, sour, salty, overly hot, pungent, dry, and burning food",17,9,1709,"The foods that are bitter, sour, salty, overly hot, pungent, dry, and burning are liked by the Rajasic and are productive of pain, grief, and disease."
What is Om Tat Sat,triple designation of Brahman,17,23,17023,"Om Tat Sat: This has been declared to be the triple designation of Brahman. By that, the Brahmanas, the Vedas, and the sacrifices were created formerly."
What is Om?," the acts of sacrifice, gift, and austerity",17,24,17024,"Therefore, with the utterance of ""Om,"" the acts of sacrifice, gift, and austerity, as enjoined in the scriptures, are always begun by the students of Brahman."
What is Tat?,"acts of sacrifice, austerity, and the various acts of gifts",17,25,17025,"Uttering ""Tat,"" without aiming for the fruits, are the acts of sacrifice, austerity, and the various acts of gifts performed by those seeking liberation."
What is Sat?, an auspicious act.,17,26,17026,"The word ""Sat"" is used to refer to reality and goodness; likewise, O Arjuna, the word ""Sat"" is used to refer to an auspicious act."
What is Rajasic?,Passionate,18,24,18024,But that action which is done by one longing for the fulfillment of desires or gain with egotism or with much effort is declared to be Rajasic (passionate).
What is Sattvic?,"action that is ordained, free from attachment, done without love or hatred",18,23,18023,"An action that is ordained, free from attachment, done without love or hatred, and without desire for reward is declared to be Sattvic."
What is the supreme Purusha?,highest Self,15,17,15017,"But distinct is the Supreme Purusha, called the highest Self, indestructible and Lord, who pervades the three worlds and sustains them."
Does Nature Have a beginning?,No,13,19,13019,"Know that Nature (matter) and the Spirit are both beginningless, and know also that all modifications and qualities are born from Nature."
Does Spirit have a beginning?,No,13,19,13019,"Know that Nature (matter) and the Spirit are both beginningless, and know also that all modifications and qualities are born from Nature."
What creates modifications and qualities?,Nature,13,19,13019,"Know that Nature (matter) and the Spirit are both beginningless, and know also that all modifications and qualities are born from Nature."
"Who likes  savory, oily, substantial, and agreeable food?",Sattvic people,17,8,17008,"The foods that increase life, purity, strength, health, joy, and cheerfulness (good appetite), which are savory, oily, substantial, and agreeable, are dear to the Sattvic (pure) people."
Who has good apetite?,Sattvic people,17,8,17008,"The foods that increase life, purity, strength, health, joy, and cheerfulness (good appetite), which are savory, oily, substantial, and agreeable, are dear to the Sattvic (pure) people."
What kind of food do Sattvic people eat?,"savory, oily, substantial, and agreeable food",17,8,17008,"The foods that increase life, purity, strength, health, joy, and cheerfulness (good appetite), which are savory, oily, substantial, and agreeable, are dear to the Sattvic (pure) people."
What are Sattvic people?,Pure,17,8,17008,"The foods that increase life, purity, strength, health, joy, and cheerfulness (good appetite), which are savory, oily, substantial, and agreeable, are dear to the Sattvic (pure) people."
What food do Tamasic like?,"stale, tasteless, putrid, rotten, rejected, and impure food",17,10,17010,"That which is stale, tasteless, putrid, rotten, rejected, and impure is the food liked by the Tamasic."
"Who likes stale, tasteless, putrid, rotten, rejected, and impure?",Tamasic,17,10,17010,"That which is stale, tasteless, putrid, rotten, rejected, and impure is the food liked by the Tamasic."
Who is Sattvic?,gift which is given to one who does nothing in return,17,20,17020,"That gift which is given to one who does nothing in return, knowing it to be a duty to give in a suitable place and time to a worthy person, is held to be Sattvic."
Who is Rajasic?,"aim of gaining good reception, honor, and worship, and with hypocrisy",17,18,17018,"The austerity that is practiced with the aim of gaining good reception, honor, and worship, and with hypocrisy, is said to be Rajasic, unstable, and transient."
Who is Tamasic?,"austerity which is practised out of a foolish notion, with self-torture, or for the purpose of destroying another",17,19,17019,"That austerity which is practised out of a foolish notion, with self-torture, or for the purpose of destroying another, is declared to be of the Tamasic nature."
